,sentence,position,gold,syntactic_role,number
38,"After it changes, the ethnicity was completely different.",cataphora,"it,the ethnicity",subj,singular
39,"After the ethnicity shift, it was completely different.",subordinate,"the ethnicity,it",subj,singular
40,The ethnicity shift. It was completely different.,independent,"The ethnicity,It",subj,singular
41,"After it shift, the ethnicity was completely different.",cataphora,"it,the ethnicity",subj,singular
42,"After the ethnicity change, it was completely changed.",subordinate,"the ethnicity,it",subj,singular
43,The ethnicity change. It was completely changed.,independent,"The ethnicity,It",subj,singular
44,"After it change, the ethnicity was completely changed.",cataphora,"it,the ethnicity",subj,singular
45,"After the preparation process, it was completely finished.",subordinate,"the preparation,it",subj,singular
46,The preparation process. It was completely finished.,independent,"The preparation,It",subj,singular
47,"After it process, the preparation was completely finished.",cataphora,"it,the preparation",subj,singular
48,"After the preparation process, it was completely dry.",subordinate,"the preparation,it",subj,singular
49,The preparation process. It was completely dry.,independent,"The preparation,It",subj,singular
50,"After it process, the preparation was completely dry.",cataphora,"it,the preparation",subj,singular
51,"After the preparation process, it was completely done.",subordinate,"the preparation,it",subj,singular
52,The preparation process. It was completely done.,independent,"The preparation,It",subj,singular
53,"After it process, the preparation was completely done.",cataphora,"it,the preparation",subj,singular
54,"After the plan failed, it was completely scrapped.",subordinate,"the plan,it",subj,singular
55,The plan failed. It was completely scrapped.,independent,"The plan,It",subj,singular
56,"After it failed, the plan was completely scrapped.",cataphora,"it,the plan",subj,singular
57,"After the plan failed, it was completely rewritten.",subordinate,"the plan,it",subj,singular
58,The plan failed. It was completely rewritten.,independent,"The plan,It",subj,singular
59,"After it failed, the plan was completely rewritten.",cataphora,"it,the plan",subj,singular
60,"After the plan failed, it was completely destroyed.",subordinate,"the plan,it",subj,singular
61,The plan failed. It was completely destroyed.,independent,"The plan,It",subj,singular
62,"After it failed, the plan was completely destroyed.",cataphora,"it,the plan",subj,singular
63,"After the stamp date, it was completely removed.",subordinate,"the stamp,it",subj,singular
64,The stamp date. It was completely removed.,independent,"The stamp,It",subj,singular
65,"After it date, the stamp was completely removed.",cataphora,"it,the stamp",subj,singular
66,"After the stamp broke, it was completely destroyed.",subordinate,"the stamp,it",subj,singular
67,The stamp broke. It was completely destroyed.,independent,"The stamp,It",subj,singular
68,"After it broke, the stamp was completely destroyed.",cataphora,"it,the stamp",subj,singular
69,"After the stamp date, it was completely forgotten.",subordinate,"the stamp,it",subj,singular
70,The stamp date. It was completely forgotten.,independent,"The stamp,It",subj,singular
71,"After it date, the stamp was completely forgotten.",cataphora,"it,the stamp",subj,singular
72,"After the robot crashed, it was completely destroyed.",subordinate,"the robot,it",subj,singular
73,The robot crashed. It was completely destroyed.,independent,"The robot,It",subj,singular
74,"After it crashed, the robot was completely destroyed.",cataphora,"it,the robot",subj,singular
75,"After the robot died, it was completely dismantled.",subordinate,"the robot,it",subj,singular
76,The robot died. It was completely dismantled.,independent,"The robot,It",subj,singular
77,"After it died, the robot was completely dismantled.",cataphora,"it,the robot",subj,singular
78,"After the robot escaped, it was completely destroyed.",subordinate,"the robot,it",subj,singular
79,The robot escaped. It was completely destroyed.,independent,"The robot,It",subj,singular
80,"After it escaped, the robot was completely destroyed.",cataphora,"it,the robot",subj,singular
81,"After the game ended, it was completely different.",subordinate,"the game,it",subj,singular
82,The game ended. It was completely different.,independent,"The game,It",subj,singular
83,"After it ended, the game was completely different.",cataphora,"it,the game",subj,singular
84,"After the game ended, it was completely forgotten.",subordinate,"the game,it",subj,singular
85,The game ended. It was completely forgotten.,independent,"The game,It",subj,singular
86,"After it ended, the game was completely forgotten.",cataphora,"it,the game",subj,singular
87,"After the game ended, it was completely gone.",subordinate,"the game,it",subj,singular
88,The game ended. It was completely gone.,independent,"The game,It",subj,singular
89,"After it ended, the game was completely gone.",cataphora,"it,the game",subj,singular
90,"After the pillow broke, it was completely gone.",subordinate,"the pillow,it",subj,singular
91,The pillow broke. It was completely gone.,independent,"The pillow,It",subj,singular
92,"After it broke, the pillow was completely gone.",cataphora,"it,the pillow",subj,singular
93,"After the pillow incident, it was completely different.",subordinate,"the pillow,it",subj,singular
94,The pillow incident. It was completely different.,independent,"The pillow,It",subj,singular
95,"After it incident, the pillow was completely different.",cataphora,"it,the pillow",subj,singular
96,"After the pillow exploded, it was completely gone.",subordinate,"the pillow,it",subj,singular
97,The pillow exploded. It was completely gone.,independent,"The pillow,It",subj,singular
98,"After it exploded, the pillow was completely gone.",cataphora,"it,the pillow",subj,singular
99,"After the house burned, it was completely abandoned.",subordinate,"the house,it",subj,singular
100,The house burned. It was completely abandoned.,independent,"The house,It",subj,singular
101,"After it burned, the house was completely abandoned.",cataphora,"it,the house",subj,singular
102,"After the house burned, it was completely rebuilt.",subordinate,"the house,it",subj,singular
103,The house burned. It was completely rebuilt.,independent,"The house,It",subj,singular
104,"After it burned, the house was completely rebuilt.",cataphora,"it,the house",subj,singular
105,"After the house burned, it was completely leveled.",subordinate,"the house,it",subj,singular
106,The house burned. It was completely leveled.,independent,"The house,It",subj,singular
107,"After it burned, the house was completely leveled.",cataphora,"it,the house",subj,singular
108,"After the fruit dried, it was completely ripe.",subordinate,"the fruit,it",subj,singular
109,The fruit dried. It was completely ripe.,independent,"The fruit,It",subj,singular
110,"After it dried, the fruit was completely ripe.",cataphora,"it,the fruit",subj,singular
111,"After the fruit cooled, it was completely ripe.",subordinate,"the fruit,it",subj,singular
112,The fruit cooled. It was completely ripe.,independent,"The fruit,It",subj,singular
113,"After it cooled, the fruit was completely ripe.",cataphora,"it,the fruit",subj,singular
114,"After the fruit cooled, it was completely dry.",subordinate,"the fruit,it",subj,singular
115,The fruit cooled. It was completely dry.,independent,"The fruit,It",subj,singular
116,"After it cooled, the fruit was completely dry.",cataphora,"it,the fruit",subj,singular
117,"After the track opened, it was completely empty.",subordinate,"the track,it",subj,singular
118,The track opened. It was completely empty.,independent,"The track,It",subj,singular
119,"After it opened, the track was completely empty.",cataphora,"it,the track",subj,singular
120,"After the track closed, it was completely dark.",subordinate,"the track,it",subj,singular
121,The track closed. It was completely dark.,independent,"The track,It",subj,singular
122,"After it closed, the track was completely dark.",cataphora,"it,the track",subj,singular
123,"After the track closed, it was completely quiet.",subordinate,"the track,it",subj,singular
124,The track closed. It was completely quiet.,independent,"The track,It",subj,singular
125,"After it closed, the track was completely quiet.",cataphora,"it,the track",subj,singular
126,"After the elevator left, it was completely empty.",subordinate,"the elevator,it",subj,singular
127,The elevator left. It was completely empty.,independent,"The elevator,It",subj,singular
128,"After it left, the elevator was completely empty.",cataphora,"it,the elevator",subj,singular
129,"After the elevator ride, it was completely different.",subordinate,"the elevator,it",subj,singular
130,The elevator ride. It was completely different.,independent,"The elevator,It",subj,singular
131,"After it ride, the elevator was completely different.",cataphora,"it,the elevator",subj,singular
132,"After the elevator left, it was completely quiet.",subordinate,"the elevator,it",subj,singular
133,The elevator left. It was completely quiet.,independent,"The elevator,It",subj,singular
134,"After it left, the elevator was completely quiet.",cataphora,"it,the elevator",subj,singular
135,"After the tower fell, it was completely destroyed.",subordinate,"the tower,it",subj,singular
136,The tower fell. It was completely destroyed.,independent,"The tower,It",subj,singular
137,"After it fell, the tower was completely destroyed.",cataphora,"it,the tower",subj,singular
138,"After the tower collapsed, it was completely demolished.",subordinate,"the tower,it",subj,singular
139,The tower collapsed. It was completely demolished.,independent,"The tower,It",subj,singular
140,"After it collapsed, the tower was completely demolished.",cataphora,"it,the tower",subj,singular
141,"After the tower collapsed, it was completely empty.",subordinate,"the tower,it",subj,singular
142,The tower collapsed. It was completely empty.,independent,"The tower,It",subj,singular
143,"After it collapsed, the tower was completely empty.",cataphora,"it,the tower",subj,singular
144,"After the computer died, it was completely destroyed.",subordinate,"the computer,it",subj,singular
145,The computer died. It was completely destroyed.,independent,"The computer,It",subj,singular
146,"After it died, the computer was completely destroyed.",cataphora,"it,the computer",subj,singular
147,"After the computer crashed, it was completely useless.",subordinate,"the computer,it",subj,singular
148,The computer crashed. It was completely useless.,independent,"The computer,It",subj,singular
149,"After it crashed, the computer was completely useless.",cataphora,"it,the computer",subj,singular
150,"After the computer crashed, it was completely erased.",subordinate,"the computer,it",subj,singular
151,The computer crashed. It was completely erased.,independent,"The computer,It",subj,singular
152,"After it crashed, the computer was completely erased.",cataphora,"it,the computer",subj,singular
153,"After the video surfaced, it was completely deleted.",subordinate,"the video,it",subj,singular
154,The video surfaced. It was completely deleted.,independent,"The video,It",subj,singular
155,"After it surfaced, the video was completely deleted.",cataphora,"it,the video",subj,singular
156,"After the video expired, it was completely removed.",subordinate,"the video,it",subj,singular
157,The video expired. It was completely removed.,independent,"The video,It",subj,singular
158,"After it expired, the video was completely removed.",cataphora,"it,the video",subj,singular
159,"After the video appeared, it was completely removed.",subordinate,"the video,it",subj,singular
160,The video appeared. It was completely removed.,independent,"The video,It",subj,singular
161,"After it appeared, the video was completely removed.",cataphora,"it,the video",subj,singular
162,"After the mountain collapsed, it was completely gone.",subordinate,"the mountain,it",subj,singular
163,The mountain collapsed. It was completely gone.,independent,"The mountain,It",subj,singular
164,"After it collapsed, the mountain was completely gone.",cataphora,"it,the mountain",subj,singular
165,"After the mountain collapsed, it was completely buried.",subordinate,"the mountain,it",subj,singular
166,The mountain collapsed. It was completely buried.,independent,"The mountain,It",subj,singular
167,"After it collapsed, the mountain was completely buried.",cataphora,"it,the mountain",subj,singular
168,"After the mountain fell, it was completely destroyed.",subordinate,"the mountain,it",subj,singular
169,The mountain fell. It was completely destroyed.,independent,"The mountain,It",subj,singular
170,"After it fell, the mountain was completely destroyed.",cataphora,"it,the mountain",subj,singular
171,"After the body exploded, it was completely gone.",subordinate,"the body,it",subj,singular
172,The body exploded. It was completely gone.,independent,"The body,It",subj,singular
173,"After it exploded, the body was completely gone.",cataphora,"it,the body",subj,singular
174,"After the body exploded, it was completely inert.",subordinate,"the body,it",subj,singular
175,The body exploded. It was completely inert.,independent,"The body,It",subj,singular
176,"After it exploded, the body was completely inert.",cataphora,"it,the body",subj,singular
177,"After the body died, it was completely buried.",subordinate,"the body,it",subj,singular
178,The body died. It was completely buried.,independent,"The body,It",subj,singular
179,"After it died, the body was completely buried.",cataphora,"it,the body",subj,singular
0,"The woman offered the money, but she refused it.",subordinate,"the money,it",obj,singular
1,"The woman offered the money. However, she refused it.",independent,"the money,it",obj,singular
2,"A few minutes after the woman offered it, she refused the money.",cataphora,"it,the money",obj,singular
3,"The woman opened the door, but she closed it.",subordinate,"the door,it",obj,singular
4,"The woman opened the door. However, she closed it.",independent,"the door,it",obj,singular
5,"A few minutes after the woman opened it, she closed the door.",cataphora,"it,the door",obj,singular
6,"The woman opened the door, but she locked it.",subordinate,"the door,it",obj,singular
7,"The woman opened the door. However, she locked it.",independent,"the door,it",obj,singular
8,"A few minutes after the woman opened it, she locked the door.",cataphora,"it,the door",obj,singular
9,"The mother called the police, but she lost it.",subordinate,"the police,it",obj,singular
10,"The mother called the police. However, she lost it.",independent,"the police,it",obj,singular
11,"A few minutes after the mother called it, she lost the police.",cataphora,"it,the police",obj,singular
12,"The mother heard the noise, but she ignored it.",subordinate,"the noise,it",obj,singular
13,"The mother heard the noise. However, she ignored it.",independent,"the noise,it",obj,singular
14,"A few minutes after the mother heard it, she ignored the noise.",cataphora,"it,the noise",obj,singular
15,"The mother heard the scream, but she ignored it.",subordinate,"the scream,it",obj,singular
16,"The mother heard the scream. However, she ignored it.",independent,"the scream,it",obj,singular
17,"A few minutes after the mother heard it, she ignored the scream.",cataphora,"it,the scream",obj,singular
18,"The owner bought the house, but she sold it.",subordinate,"the house,it",obj,singular
19,"The owner bought the house. However, she sold it.",independent,"the house,it",obj,singular
20,"A few minutes after the owner bought it, she sold the house.",cataphora,"it,the house",obj,singular
21,"The owner called the police, but she lost it.",subordinate,"the police,it",obj,singular
22,"The owner called the police. However, she lost it.",independent,"the police,it",obj,singular
23,"A few minutes after the owner called it, she lost the police.",cataphora,"it,the police",obj,singular
24,"The owner loved the house, but she sold it.",subordinate,"the house,it",obj,singular
25,"The owner loved the house. However, she sold it.",independent,"the house,it",obj,singular
26,"A few minutes after the owner loved it, she sold the house.",cataphora,"it,the house",obj,singular
27,"The author wrote the book, but she hated it.",subordinate,"the book,it",obj,singular
28,"The author wrote the book. However, she hated it.",independent,"the book,it",obj,singular
29,"A few minutes after the author wrote it, she hated the book.",cataphora,"it,the book",obj,singular
30,"The author wrote the book, but she hates it.",subordinate,"the book,it",obj,singular
31,"The author wrote the book. However, she hates it.",independent,"the book,it",obj,singular
32,"A few minutes after the author wrote it, she hates the book.",cataphora,"it,the book",obj,singular
33,"The author wrote the book, but she edited it.",subordinate,"the book,it",obj,singular
34,"The author wrote the book. However, she edited it.",independent,"the book,it",obj,singular
35,"A few minutes after the author wrote it, she edited the book.",cataphora,"it,the book",obj,singular
36,"The lady offered the money, but she refused it.",subordinate,"the money,it",obj,singular
37,"The lady offered the money. However, she refused it.",independent,"the money,it",obj,singular
38,"A few minutes after the lady offered it, she refused the money.",cataphora,"it,the money",obj,singular
39,"The lady called the police, but she lost it.",subordinate,"the police,it",obj,singular
40,"The lady called the police. However, she lost it.",independent,"the police,it",obj,singular
41,"A few minutes after the lady called it, she lost the police.",cataphora,"it,the police",obj,singular
42,"The lady offered the money, but she declined it.",subordinate,"the money,it",obj,singular
43,"The lady offered the money. However, she declined it.",independent,"the money,it",obj,singular
44,"A few minutes after the lady offered it, she declined the money.",cataphora,"it,the money",obj,singular
45,"The bride loved the job, but she hated it.",subordinate,"the job,it",obj,singular
46,"The bride loved the job. However, she hated it.",independent,"the job,it",obj,singular
47,"A few minutes after the bride loved it, she hated the job.",cataphora,"it,the job",obj,singular
48,"The bride loved the dress, but she hated it.",subordinate,"the dress,it",obj,singular
49,"The bride loved the dress. However, she hated it.",independent,"the dress,it",obj,singular
50,"A few minutes after the bride loved it, she hated the dress.",cataphora,"it,the dress",obj,singular
51,"The bride wore the dress, but she hated it.",subordinate,"the dress,it",obj,singular
52,"The bride wore the dress. However, she hated it.",independent,"the dress,it",obj,singular
53,"A few minutes after the bride wore it, she hated the dress.",cataphora,"it,the dress",obj,singular
54,"The daughter knows the truth, but she hides it.",subordinate,"the truth,it",obj,singular
55,"The daughter knows the truth. However, she hides it.",independent,"the truth,it",obj,singular
56,"A few minutes after the daughter knows it, she hides the truth.",cataphora,"it,the truth",obj,singular
57,"The daughter heard the noise, but she ignored it.",subordinate,"the noise,it",obj,singular
58,"The daughter heard the noise. However, she ignored it.",independent,"the noise,it",obj,singular
59,"A few minutes after the daughter heard it, she ignored the noise.",cataphora,"it,the noise",obj,singular
60,"The daughter knew the truth, but she hid it.",subordinate,"the truth,it",obj,singular
61,"The daughter knew the truth. However, she hid it.",independent,"the truth,it",obj,singular
62,"A few minutes after the daughter knew it, she hid the truth.",cataphora,"it,the truth",obj,singular
63,"The model hated the suit, but she loved it.",subordinate,"the suit,it",obj,singular
64,"The model hated the suit. However, she loved it.",independent,"the suit,it",obj,singular
65,"A few minutes after the model hated it, she loved the suit.",cataphora,"it,the suit",obj,singular
66,"The model hated the dress, but she loved it.",subordinate,"the dress,it",obj,singular
67,"The model hated the dress. However, she loved it.",independent,"the dress,it",obj,singular
68,"A few minutes after the model hated it, she loved the dress.",cataphora,"it,the dress",obj,singular
69,"The model hated the car, but she loved it.",subordinate,"the car,it",obj,singular
70,"The model hated the car. However, she loved it.",independent,"the car,it",obj,singular
71,"A few minutes after the model hated it, she loved the car.",cataphora,"it,the car",obj,singular
72,"The sister knows the truth, but she hides it.",subordinate,"the truth,it",obj,singular
73,"The sister knows the truth. However, she hides it.",independent,"the truth,it",obj,singular
74,"A few minutes after the sister knows it, she hides the truth.",cataphora,"it,the truth",obj,singular
75,"The sister knew the truth, but she hid it.",subordinate,"the truth,it",obj,singular
76,"The sister knew the truth. However, she hid it.",independent,"the truth,it",obj,singular
77,"A few minutes after the sister knew it, she hid the truth.",cataphora,"it,the truth",obj,singular
78,"The sister hears the voice, but she ignores it.",subordinate,"the voice,it",obj,singular
79,"The sister hears the voice. However, she ignores it.",independent,"the voice,it",obj,singular
80,"A few minutes after the sister hears it, she ignores the voice.",cataphora,"it,the voice",obj,singular
81,"The actress hated the film, but she loved it.",subordinate,"the film,it",obj,singular
82,"The actress hated the film. However, she loved it.",independent,"the film,it",obj,singular
83,"A few minutes after the actress hated it, she loved the film.",cataphora,"it,the film",obj,singular
84,"The actress hated the role, but she loved it.",subordinate,"the role,it",obj,singular
85,"The actress hated the role. However, she loved it.",independent,"the role,it",obj,singular
86,"A few minutes after the actress hated it, she loved the role.",cataphora,"it,the role",obj,singular
87,"The actress hated the movie, but she loved it.",subordinate,"the movie,it",obj,singular
88,"The actress hated the movie. However, she loved it.",independent,"the movie,it",obj,singular
89,"A few minutes after the actress hated it, she loved the movie.",cataphora,"it,the movie",obj,singular
90,"The photographer took the picture, but she lost it.",subordinate,"the picture,it",obj,singular
91,"The photographer took the picture. However, she lost it.",independent,"the picture,it",obj,singular
92,"A few minutes after the photographer took it, she lost the picture.",cataphora,"it,the picture",obj,singular
93,"The photographer took the photo, but she lost it.",subordinate,"the photo,it",obj,singular
94,"The photographer took the photo. However, she lost it.",independent,"the photo,it",obj,singular
95,"A few minutes after the photographer took it, she lost the photo.",cataphora,"it,the photo",obj,singular
96,"The photographer took the video, but she lost it.",subordinate,"the video,it",obj,singular
97,"The photographer took the video. However, she lost it.",independent,"the video,it",obj,singular
98,"A few minutes after the photographer took it, she lost the video.",cataphora,"it,the video",obj,singular
99,"The seller bought the house, but she sold it.",subordinate,"the house,it",obj,singular
100,"The seller bought the house. However, she sold it.",independent,"the house,it",obj,singular
101,"A few minutes after the seller bought it, she sold the house.",cataphora,"it,the house",obj,singular
102,"The seller offered the money, but she refused it.",subordinate,"the money,it",obj,singular
103,"The seller offered the money. However, she refused it.",independent,"the money,it",obj,singular
104,"A few minutes after the seller offered it, she refused the money.",cataphora,"it,the money",obj,singular
105,"The seller rejects the offer, but she accepts it.",subordinate,"the offer,it",obj,singular
106,"The seller rejects the offer. However, she accepts it.",independent,"the offer,it",obj,singular
107,"A few minutes after the seller rejects it, she accepts the offer.",cataphora,"it,the offer",obj,singular
108,"The artist loved the job, but she hated it.",subordinate,"the job,it",obj,singular
109,"The artist loved the job. However, she hated it.",independent,"the job,it",obj,singular
110,"A few minutes after the artist loved it, she hated the job.",cataphora,"it,the job",obj,singular
111,"The artist got the job, but she hated it.",subordinate,"the job,it",obj,singular
112,"The artist got the job. However, she hated it.",independent,"the job,it",obj,singular
113,"A few minutes after the artist got it, she hated the job.",cataphora,"it,the job",obj,singular
114,"The artist hated the job, but she did it.",subordinate,"the job,it",obj,singular
115,"The artist hated the job. However, she did it.",independent,"the job,it",obj,singular
116,"A few minutes after the artist hated it, she did the job.",cataphora,"it,the job",obj,singular
117,"The teacher offered the job, but she declined it.",subordinate,"the job,it",obj,singular
118,"The teacher offered the job. However, she declined it.",independent,"the job,it",obj,singular
119,"A few minutes after the teacher offered it, she declined the job.",cataphora,"it,the job",obj,singular
120,"The teacher offered the job, but she rejected it.",subordinate,"the job,it",obj,singular
121,"The teacher offered the job. However, she rejected it.",independent,"the job,it",obj,singular
122,"A few minutes after the teacher offered it, she rejected the job.",cataphora,"it,the job",obj,singular
123,"The teacher called the principal, but she ignored it.",subordinate,"the principal,it",obj,singular
124,"The teacher called the principal. However, she ignored it.",independent,"the principal,it",obj,singular
125,"A few minutes after the teacher called it, she ignored the principal.",cataphora,"it,the principal",obj,singular
126,"The client hated the job, but she did it.",subordinate,"the job,it",obj,singular
127,"The client hated the job. However, she did it.",independent,"the job,it",obj,singular
128,"A few minutes after the client hated it, she did the job.",cataphora,"it,the job",obj,singular
129,"The client took the job, but she hated it.",subordinate,"the job,it",obj,singular
130,"The client took the job. However, she hated it.",independent,"the job,it",obj,singular
131,"A few minutes after the client took it, she hated the job.",cataphora,"it,the job",obj,singular
132,"The client loved the job, but she hated it.",subordinate,"the job,it",obj,singular
133,"The client loved the job. However, she hated it.",independent,"the job,it",obj,singular
134,"A few minutes after the client loved it, she hated the job.",cataphora,"it,the job",obj,singular
135,"The student offered the job, but she declined it.",subordinate,"the job,it",obj,singular
136,"The student offered the job. However, she declined it.",independent,"the job,it",obj,singular
137,"A few minutes after the student offered it, she declined the job.",cataphora,"it,the job",obj,singular
138,"The student offered the job, but she rejected it.",subordinate,"the job,it",obj,singular
139,"The student offered the job. However, she rejected it.",independent,"the job,it",obj,singular
140,"A few minutes after the student offered it, she rejected the job.",cataphora,"it,the job",obj,singular
141,"The student offered the money, but she declined it.",subordinate,"the money,it",obj,singular
142,"The student offered the money. However, she declined it.",independent,"the money,it",obj,singular
143,"A few minutes after the student offered it, she declined the money.",cataphora,"it,the money",obj,singular
144,"The queen knows the truth, but she hides it.",subordinate,"the truth,it",obj,singular
145,"The queen knows the truth. However, she hides it.",independent,"the truth,it",obj,singular
146,"A few minutes after the queen knows it, she hides the truth.",cataphora,"it,the truth",obj,singular
147,"The queen knew the truth, but she hid it.",subordinate,"the truth,it",obj,singular
148,"The queen knew the truth. However, she hid it.",independent,"the truth,it",obj,singular
149,"A few minutes after the queen knew it, she hid the truth.",cataphora,"it,the truth",obj,singular
150,"The queen knows the secret, but she hides it.",subordinate,"the secret,it",obj,singular
151,"The queen knows the secret. However, she hides it.",independent,"the secret,it",obj,singular
152,"A few minutes after the queen knows it, she hides the secret.",cataphora,"it,the secret",obj,singular
153,"The princess knows the truth, but she hides it.",subordinate,"the truth,it",obj,singular
154,"The princess knows the truth. However, she hides it.",independent,"the truth,it",obj,singular
155,"A few minutes after the princess knows it, she hides the truth.",cataphora,"it,the truth",obj,singular
156,"The princess hears the voice, but she ignores it.",subordinate,"the voice,it",obj,singular
157,"The princess hears the voice. However, she ignores it.",independent,"the voice,it",obj,singular
158,"A few minutes after the princess hears it, she ignores the voice.",cataphora,"it,the voice",obj,singular
159,"The princess knows the secret, but she hides it.",subordinate,"the secret,it",obj,singular
160,"The princess knows the secret. However, she hides it.",independent,"the secret,it",obj,singular
161,"A few minutes after the princess knows it, she hides the secret.",cataphora,"it,the secret",obj,singular
162,"The witch knows the truth, but she hides it.",subordinate,"the truth,it",obj,singular
163,"The witch knows the truth. However, she hides it.",independent,"the truth,it",obj,singular
164,"A few minutes after the witch knows it, she hides the truth.",cataphora,"it,the truth",obj,singular
165,"The witch knew the truth, but she hid it.",subordinate,"the truth,it",obj,singular
166,"The witch knew the truth. However, she hid it.",independent,"the truth,it",obj,singular
167,"A few minutes after the witch knew it, she hid the truth.",cataphora,"it,the truth",obj,singular
168,"The witch knows the secret, but she hides it.",subordinate,"the secret,it",obj,singular
169,"The witch knows the secret. However, she hides it.",independent,"the secret,it",obj,singular
170,"A few minutes after the witch knows it, she hides the secret.",cataphora,"it,the secret",obj,singular
171,"The hostess called the police, but she lost it.",subordinate,"the police,it",obj,singular
172,"The hostess called the police. However, she lost it.",independent,"the police,it",obj,singular
173,"A few minutes after the hostess called it, she lost the police.",cataphora,"it,the police",obj,singular
174,"The hostess was the worst, but she deserved it.",subordinate,"the worst,it",obj,singular
175,"The hostess was the worst. However, she deserved it.",independent,"the worst,it",obj,singular
176,"A few minutes after the hostess was it, she deserved the worst.",cataphora,"it,the worst",obj,singular
177,"The hostess broke the rules, but she knew it.",subordinate,"the rules,it",obj,singular
178,"The hostess broke the rules. However, she knew it.",independent,"the rules,it",obj,singular
179,"A few minutes after the hostess broke it, she knew the rules.",cataphora,"it,the rules",obj,singular
0,"The man told the police, and a few months later it happened.",subordinate,"the police,it",obj_subj,singular
1,The man told the police. A few months later it happened.,independent,"the police,it",obj_subj,singular
2,"A few months after the man told it, the police happened.",cataphora,"it,the police",obj_subj,singular
3,"The man took the money, and a few months later it disappeared.",subordinate,"the money,it",obj_subj,singular
4,The man took the money. A few months later it disappeared.,independent,"the money,it",obj_subj,singular
5,"A few months after the man took it, the money disappeared.",cataphora,"it,the money",obj_subj,singular
6,"The man dropped the bomb, and a few months later it exploded.",subordinate,"the bomb,it",obj_subj,singular
7,The man dropped the bomb. A few months later it exploded.,independent,"the bomb,it",obj_subj,singular
8,"A few months after the man dropped it, the bomb exploded.",cataphora,"it,the bomb",obj_subj,singular
9,"The farmer sold the cow, and a few months later it died.",subordinate,"the cow,it",obj_subj,singular
10,The farmer sold the cow. A few months later it died.,independent,"the cow,it",obj_subj,singular
11,"A few months after the farmer sold it, the cow died.",cataphora,"it,the cow",obj_subj,singular
12,"The farmer sold the crop, and a few months later it died.",subordinate,"the crop,it",obj_subj,singular
13,The farmer sold the crop. A few months later it died.,independent,"the crop,it",obj_subj,singular
14,"A few months after the farmer sold it, the crop died.",cataphora,"it,the crop",obj_subj,singular
15,"The farmer sold the crop, and a few months later it disappeared.",subordinate,"the crop,it",obj_subj,singular
16,The farmer sold the crop. A few months later it disappeared.,independent,"the crop,it",obj_subj,singular
17,"A few months after the farmer sold it, the crop disappeared.",cataphora,"it,the crop",obj_subj,singular
18,"The owner bought the house, and a few months later it sold.",subordinate,"the house,it",obj_subj,singular
